ST # ;ROAD;PC;WARD;PLAN;LOT;CONTRACTOR ;BLG TYPE ;MUNICIPALITY ;DESCRIPTION;D.U.;VALUE;FT2;PERMIT#;APPL. TYPE;ISSUED DATE
830  ;REGULUS RIDGE ;;Ward 3;;19;MATTAMY DEVELOPMENT CORPORATION;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: Wintergreen 2019 TN;1;361 027;2159;2001682;Construction; 2020-mars-16
109  ;STANHOPE CRT ;K2J6S2;Ward 3;4M-;8;UNIFORM URBAN DEVELOPMENTS LTD.;Single;Nepean;Construct a 2 storey detached dwelling;1;458 833;2761;2001683;Construction; 2020-mars-16
85  ;UNIVERSITE PRIV ;K1N6N5;Ward 12;;;CONTRACTOR UNKNOWN;Institutional;Old Ottawa;Tenant fit up to a 3 storey university building (University of Ottawa, 305 Juicebar Inc, 201E);0;85 100;1388;2001684;Construction; 2020-mars-16
828  ;REGULUS RIDGE ;;Ward 3;;20;MATTAMY DEVELOPMENT CORPORATION;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: Parkside 2019 GE;1;445 139;2662;2001685;Construction; 2020-mars-16
33  ;STANHOPE CRT ;K2J6S2;Ward 3;;8;UNIFORM URBAN DEVELOPMENTS LTD.;Single;Nepean;Construct a 2 storey detached dwelling;1;445 400;2683;2001686;Construction; 2020-mars-16
134  ;STANHOPE CRT ;K2J6S2;Ward 3;4M-;8;UNIFORM URBAN DEVELOPMENTS;Single;Nepean;Construct a 2 storey detached dwelling;1;376 003;2303;2001687;Construction; 2020-mars-16
63  ;REYNARD CRES ;K0A2Z0;Ward 21;4M-1622;203;METRIC HOMES;Single;Goulbourn;Construct a 1 storey detached dwelling;1;309 543;2450;2001688;Construction; 2020-mars-16
102  ;STANHOPE CRT ;K2J6S2;Ward 3;4M-;8;UNIFORM URBAN DEVELOPMENTS LTD.;Single;Nepean;Construct a 2 storey detached dwelling;1;458 833;2761;2001689;Construction; 2020-mars-16
681  ;EDISON AVE ;K2A1W2;Ward 15;257;61;CONTRACTOR UNKNOWN;Demolition;Old Ottawa;Demolish a 1 storey detached dwelling;-1;8 000;-1291;2001690;Demolition; 2020-mars-16
681 A ;EDISON AVE ;K2A1W2;Ward 15;4M-;61;CONTRACTOR UNKNOWN;Semi - Detached;Old Ottawa;Construct a 2 storey semi-detached dwelling;2;462 642;3700;2001691;Construction; 2020-mars-16
