ST # ;ROAD;PC;WARD;PLAN;LOT;CONTRACTOR ;BLG TYPE ;MUNICIPALITY ;DESCRIPTION;D.U.;VALUE;FT2;PERMIT#;APPL. TYPE;ISSUED DATE
2289  ;KAY ST ;K2C1J6;Ward 8;391688;23;CONTRACTOR UNKNOWN;Single;Old Ottawa;Construct a secondary dwelling unit in a 1 storey detached dwelling (basement);1;25 000;800;1909736;Construction; 2020-janv-10
125  ;FINN CRT ;K1V2C6;Ward 18;4M-;83;KITCHENS & BATHROOMS FIRST INC.;Single;Old Ottawa;Interior alterations on the 2nd floor of a 2 storey detached dwelling;0;3 000;100;2000001;Construction; 2020-janv-02
1585  ;TENTH LINE RD ;K1E3E8;Ward 1;50M-97;;CONTRACTOR UNKNOWN;Institutional;Cumberland;PLUMBING ONLY: Install a premise isolation backflow device;0;0;0;2000003;Construction; 2020-janv-02
143  ;COUNTRY LANE W;K2L1J6;Ward 23;809;386;LEVEL CONSTRUCTION;Single;Kanata;Construct a 3 season sunroom (rear yard);0;20 000;172;2000004;Construction; 2020-janv-02
200  ;ISLAND LODGE RD ;K1N5M2;Ward 12;4M-;;CONTRACTOR UNKNOWN;Institutional;Old Ottawa;PLUMBING ONLY: Install a premise isolation backflow device;0;0;0;2000005;Construction; 2020-janv-02
18  ;ESQUIMAULT AVE ;K2H6Z4;Ward 8;479669;136;LEVEL CONSTRUCTION;Single;Nepean;Construct a 1 storey addition to a 2 storey detached dwelling (rear yard);0;20 401;122;2000006;Construction; 2020-janv-02
2285  ;GLADWIN CRES ;K1B4K9;Ward 18;4M-;;FJ CONSTRUCTION;Office;Old Ottawa;Tenant fit up in a 1 storey office building (Advanced Business Imaging);0;160 000;6074;2000007;Construction; 2020-janv-02
2287  ;GLADWIN CRES ;K1B4K9;Ward 18;4M-;;FJ CONSTRUCTION;Office;Old Ottawa;Tenant fit up in a 1 storey office building (Advanced Business Imaging);0;160 000;6074;2000007;Construction; 2020-janv-02
1545  ;CARLING AVE ;K1Z8P9;Ward 15;4M-;;GLENVIEW CONSTRUCTION LIMITED;Office;Old Ottawa;Interior alterations on the 7th floor of a 7 storey office building (Unit 702);0;100 000;1200;2000008;Construction; 2020-janv-02
5149  ;LERNER WAY ;K1J1B4;Ward 11;4M916;22;CONTRACTOR UNKNOWN;Single;Gloucester;Interior alterations to 2nd ensuite floor bathroom in a 2 storey detached dwelling;0;7 000;120;2000009;Construction; 2020-janv-02
107  ;TARTAN DR ;K2J3V7;Ward 3;4M-610;191;CONTRACTOR UNKNOWN;Single;Nepean;Interior alterations to the ensuite bathroom of a 2 storey detached dwelling;0;5 000;100;2000010;Construction; 2020-janv-02
86  ;ARGUE DR ;;Ward 9;;;CONTRACTOR UNKNOWN;Mixed;Nepean;PLUMBING ONLY - To install a Premise Isolation Backflow Prevention Device;0;0;0;2000011;Construction; 2020-janv-02
286  ;DALHOUSIE ST ;K1N7E6;Ward 12;42482;15 & 16;CONTRACTOR UNKNOWN;Retail;Old Ottawa;PLUMBING ONLY - Install a backflow preventer;0;0;0;2000013;Construction; 2020-janv-02
780  ;EAGLESON RD ;K2M0N2;Ward 23;4M-;31;CONTRACTOR UNKNOWN;Retail;Kanata;Tenant fit up to a 1 storey restaurant (ST. LOUIS );0;112 914;3039;2000014;Construction; 2020-janv-02
125  ;WALGREEN RD ;K0A1L0;Ward 21;4M-;;CONTRACTOR UNKNOWN;Industrial;West Carleton;PLUMBING ONLY: Install a premise isolation backflow device;0;0;0;2000015;Construction; 2020-janv-02
8647  ;FLEWELLYN RD ;K0A1B0;Ward 21;;3;CONTRACTOR UNKNOWN;Farm;Goulbourn;Construct a farm building for equipment storage, adjacent to existing farm building;0;74 500;4320;2000016;Construction; 2020-janv-02
350  ;PALLADIUM DR ;K2V1A8;Ward 23;4M-;1;CONTRACTOR UNKNOWN;Office;Kanata;Alterations to expand existing suite in a 2 storey office building (Suite 104 Stonewood Group);0;8 000;500;2000017;Construction; 2020-janv-02
2122  ;APPLEWOOD CRES ;K1H6B5;Ward 18;4M-;;***CONTRACTOR***;Single;Old Ottawa;Interior alterations to 1st floor and basement of a 1 storey detached dwelling;0;75 000;2700;2000018;Construction; 2020-janv-02
503  ;KOCHAR DR ;K2C4G9;Ward 16;4M-1258;1;CONTRACTOR UNKNOWN;Single;Old Ottawa;Interior alterations to the basement of a 2 storey detached dwelling;0;2 415;65;2000020;Construction; 2020-janv-02
30  ;ALEUTIAN RD ;K2H7C8;Ward 8;485692;52;CONTRACTOR UNKNOWN;Single;Nepean;Interior alterations on the ground floor of a 2 storey detached dwelling;0;10 000;0;2000021;Construction; 2020-janv-02
350  ;MICHAEL COWPLAND DR ;K2M2W1;Ward 23;;31;SITECAST CONSTRUCTION CORPORATION;Office;Kanata;Interior alterations to a 1 storey office building (Canadian Wildlife Federation);0;405 000;13652;2000022;Construction; 2020-janv-02
501  ;GEORGE-ETIENNE CARTIER PKY ;;Ward 13;;A;POMERLEAU INC.;Other;Ottawa;Interior and exterior alterations to a 3 storey assembly building (Ottawa New Edinburgh Clubhouse);0;8 686 700;6792;2000023;Construction; 2020-janv-03
60  ;QUEEN ST ;K1P5Y7;Ward 14;3922;26,27;RON EASTERN CONSTRUCTION LTD.;Office;Old Ottawa;Interior alterations on the 8th floor of a 15 storey office building;0;116 547;580;2000024;Construction; 2020-janv-03
132  ;PERCY ST ;K1R6E1;Ward 14;30671;8;HOLLAND HOMES & RENOVATIONS;Semi - Detached;Old Ottawa;Interior alterations to a 3 storey semi-detached dwelling (removal of kitchen area load bearing walls);0;4 000;10;2000025;Construction; 2020-janv-03
883  ;PLEASANT PARK RD ;K1G1Z1;Ward 18;4M-;37;CONTRACTOR UNKNOWN;Single;Old Ottawa;Interior alterations in the basement of a 1 storey detached dwelling (add windows);0;6 000;215;2000026;Construction; 2020-janv-03
6325  ;RIDEAU VALLEY DR N;K4M1B3;Ward 21;;16;IMPRESSIONS GROUP OTTAWA;Single;Rideau;Install an enclosure for an inground pool (rear yard);0;0;0;2000027;Pool Enclosure; 2020-janv-03
623  ;TWEEDSMUIR AVE ;K1Z5P4;Ward 15;206;14;CONTRACTOR UNKNOWN;Semi - Detached;Old Ottawa;Exterior alterations to a 2 storey semi-detached dwelling (repair/replace roof);0;40 000;893;2000028;Construction; 2020-janv-03
275  ;SLATER ST ;K1P5H9;Ward 14;3922;27 TO 31;CONTRACTOR UNKNOWN;Office;Old Ottawa;Tenant Fit-up on the 10th floor of a 21 storey large office building (Embassy, Ethiopian Government unit 1001);0;178 000;4500;2000029;Construction; 2020-janv-03
5524  ;MANOTICK MAIN ST ;;Ward 21;4M-;;CONTRACTOR UNKNOWN;Office;Rideau;Interior alterations to a 1 storey retail building (Dental office);0;200 000;3388;2000030;Construction; 2020-janv-03
4510  ;HARPER AVE ;K1J1E1;Ward 11;4M-;;LA GROUP CORP;Rowhouse;Gloucester;Interior/exterior alterations to a  2 storey rowhouse block (repair fire damage);0;600 650;8009;2000031;Construction; 2020-janv-03
4512  ;HARPER AVE ;K1J1E1;Ward 11;4M-;;LA GROUP CORP;Rowhouse;Gloucester;Interior/exterior alterations to a  2 storey rowhouse block (repair fire damage);0;600 650;8009;2000031;Construction; 2020-janv-03
4514  ;HARPER AVE ;K1J1E1;Ward 11;4M-;;LA GROUP CORP;Rowhouse;Gloucester;Interior/exterior alterations to a  2 storey rowhouse block (repair fire damage);0;600 650;8009;2000031;Construction; 2020-janv-03
4516  ;HARPER AVE ;K1J1E1;Ward 11;4M-;;LA GROUP CORP;Rowhouse;Gloucester;Interior/exterior alterations to a  2 storey rowhouse block (repair fire damage);0;600 650;8009;2000031;Construction; 2020-janv-03
4518  ;HARPER AVE ;K1J1E1;Ward 11;4M-;;LA GROUP CORP;Rowhouse;Gloucester;Interior/exterior alterations to a  2 storey rowhouse block (repair fire damage);0;600 650;8009;2000031;Construction; 2020-janv-03
4520  ;HARPER AVE ;K1J1E1;Ward 11;4M-;;LA GROUP CORP;Rowhouse;Gloucester;Interior/exterior alterations to a  2 storey rowhouse block (repair fire damage);0;600 650;8009;2000031;Construction; 2020-janv-03
4522  ;HARPER AVE ;K1J1E1;Ward 11;4M-;;LA GROUP CORP;Rowhouse;Gloucester;Interior/exterior alterations to a  2 storey rowhouse block (repair fire damage);0;600 650;8009;2000031;Construction; 2020-janv-03
4524  ;HARPER AVE ;K1J1E1;Ward 11;4M-;;LA GROUP CORP;Rowhouse;Gloucester;Interior/exterior alterations to a  2 storey rowhouse block (repair fire damage);0;600 650;8009;2000031;Construction; 2020-janv-03
2015  ;ROBERTSON RD ;K2H5Y7;Ward 8;4M-;11;CONTRACTOR UNKNOWN;Retail;Nepean;Tenant fit-up in a 1 storey commercial building (unit 3);0;275 000;1991;2000032;Construction; 2020-janv-03
50 A ;JAGUAR PRIV ;K2V0J2;Ward 6;4M-;;DCR PHOENIX DEVELOPMENT CORP.;Apartment;Goulbourn;Construct a 2 storey ,12 unit triplex cluster;12;1 445 733;11116;2000033;Construction; 2020-janv-03
50 B ;JAGUAR PRIV ;K2V0J2;Ward 6;4M-;;DCR PHOENIX DEVELOPMENT CORP.;Apartment;Goulbourn;Construct a 2 storey ,12 unit triplex cluster;12;1 445 733;11116;2000033;Construction; 2020-janv-03
50 C ;JAGUAR PRIV ;K2V0J2;Ward 6;4M-;;DCR PHOENIX DEVELOPMENT CORP.;Apartment;Goulbourn;Construct a 2 storey ,12 unit triplex cluster;12;1 445 733;11116;2000033;Construction; 2020-janv-03
50 D ;JAGUAR PRIV ;K2V0J2;Ward 6;4M-;;DCR PHOENIX DEVELOPMENT CORP.;Apartment;Goulbourn;Construct a 2 storey ,12 unit triplex cluster;12;1 445 733;11116;2000033;Construction; 2020-janv-03
50 E ;JAGUAR PRIV ;K2V0J2;Ward 6;4M-;;DCR PHOENIX DEVELOPMENT CORP.;Apartment;Goulbourn;Construct a 2 storey ,12 unit triplex cluster;12;1 445 733;11116;2000033;Construction; 2020-janv-03
50 F ;JAGUAR PRIV ;K2V0J2;Ward 6;4M-;;DCR PHOENIX DEVELOPMENT CORP.;Apartment;Goulbourn;Construct a 2 storey ,12 unit triplex cluster;12;1 445 733;11116;2000033;Construction; 2020-janv-03
50 G ;JAGUAR PRIV ;K2V0J2;Ward 6;4M-;;DCR PHOENIX DEVELOPMENT CORP.;Apartment;Goulbourn;Construct a 2 storey ,12 unit triplex cluster;12;1 445 733;11116;2000033;Construction; 2020-janv-03
50 H ;JAGUAR PRIV ;K2V0J2;Ward 6;4M-;;DCR PHOENIX DEVELOPMENT CORP.;Apartment;Goulbourn;Construct a 2 storey ,12 unit triplex cluster;12;1 445 733;11116;2000033;Construction; 2020-janv-03
50 I ;JAGUAR PRIV ;K2V0J2;Ward 6;4M-;;DCR PHOENIX DEVELOPMENT CORP.;Apartment;Goulbourn;Construct a 2 storey ,12 unit triplex cluster;12;1 445 733;11116;2000033;Construction; 2020-janv-03
50 J ;JAGUAR PRIV ;K2V0J2;Ward 6;4M-;;DCR PHOENIX DEVELOPMENT CORP.;Apartment;Goulbourn;Construct a 2 storey ,12 unit triplex cluster;12;1 445 733;11116;2000033;Construction; 2020-janv-03
50 K ;JAGUAR PRIV ;K2V0J2;Ward 6;4M-;;DCR PHOENIX DEVELOPMENT CORP.;Apartment;Goulbourn;Construct a 2 storey ,12 unit triplex cluster;12;1 445 733;11116;2000033;Construction; 2020-janv-03
50 L ;JAGUAR PRIV ;K2V0J2;Ward 6;4M-;;DCR PHOENIX DEVELOPMENT CORP.;Apartment;Goulbourn;Construct a 2 storey ,12 unit triplex cluster;12;1 445 733;11116;2000033;Construction; 2020-janv-03
26  ;ALLIUM ST ;K4A1E3;Ward 19;4M-1580;81;CAMPBELL POOLS (YOUVILLE);Single;Cumberland;Install an enclosure for an inground pool (rear yard);0;0;0;2000034;Pool Enclosure; 2020-janv-03
1  ;RON MASLIN WAY ;K2V1A7;Ward 6;;;CITY OF OTTAWA;Office;Kanata;PLUMBING ONLY: Install a premise isolation backflow prevention device;0;0;0;2000035;Construction; 2020-janv-03
184  ;FIFTH AVE ;K1S2M9;Ward 17;4M-;4;JELINIC, ANDREW;Duplex;Old Ottawa;Interior and exterior alterations to a 2 storey duplex dwelling (stuctural repairs, remove loadbearing wall, add patio door in rear yard, add side door in interior yard);0;35 000;990;2000036;Construction; 2020-janv-03
6050  ;VINEYARD DR ;K1C2M5;Ward 1;m170;858;***CONTRACTOR***;Single;Gloucester;Interior alteration to remove a wall between the kitchen and dining room;0;1 000;6;2000037;Construction; 2020-janv-03
5  ;CHARKAY ST ;K2E5N5;Ward 9;4M-;834 834E;CONTRACTOR UNKNOWN;Semi - Detached;Nepean;Finish the basement in a 1 storey semi-detached (Not a Secondary Dwelling Unit);0;12 226;329;2000038;Construction; 2020-janv-03
20  ;EALING ST ;K2W1E4;Ward 4;4M-1154;183;OTTAWA GENERAL CONTRACTORS;Single;Kanata;Interior alterations in a 2 storey detached dwelling;0;23 000;650;2000039;Construction; 2020-janv-03
759  ;MEADOWRIDGE CIR ;K0A1L0;Ward 5;4M1498;4;RIVINGTON HOMES LTD.;Single;West Carleton;Construct a 1 storey detached dwelling;1;340 999;3272;2000040;Construction; 2020-janv-03
121  ;CLARENCE ST ;K1N5P5;Ward 12;122922;15-16;LINEJAC INVESTMENTS LIMITED - JOHN DORAN TRUSTEE;Mixed;Old Ottawa;Tenant fit up in the basement and 1st floor of 3 storey mixed use building (Hobo Ottawa);0;250 000;3229;2000041;Construction; 2020-janv-03
20  ;BURNDALE RD ;K1B3Y5;Ward 2;35;1;BROWN, DALE;Single;Gloucester;Interior renovation in bathroom;0;10 000;49;2000042;Construction; 2020-janv-06
483  ;FAMILLE-LAPORTE,AVE DE LA  ;;Ward 19;;36D;TAMARACK DEVELOPMENTS CORPORATION;Single;Cumberland;Construct a 2 Storey Single with attached garage  [Model: 3811 2017 D];1;452 998;2709;2000043;Construction; 2020-janv-06
2  ;BIE ST ;K2G0K7;Ward 9;4M-;;CONTRACTOR UNKNOWN;Single;Nepean;Interior alterations in a 2 storey detached dwelling (wood burning fireplace);0;3 547;10;2000044;Construction; 2020-janv-06
9  -1;MAJESTIC DR ;K2G1C5;Ward 9;378656;;CONTRACTOR UNKNOWN;Rowhouse;Nepean;Interior alterations in the basement and 1st floor of a 2 storey rowhouse;0;750;43;2000045;Construction; 2020-janv-06
1196  ;WOODSIDE DR ;K2C2G8;Ward 8;4M-;598;HEARTNEST HOMES LTD.;Single;Old Ottawa;Construct a porch on a 2 storey detached dwelling (side & front);0;9 375;312;2000047;Construction; 2020-janv-06
126  ;DEFENCE ST ;K2V0N2;Ward 6;;26-28;EQ HOMES;Single;Goulbourn;Construct a 2 storey detached dwelling: The Blackburn 'C' (Reverse) 2016;1;354 339;2119;2000048;Construction; 2020-janv-06
845  ;ARTEMIS CIR ;K4M0H6;Ward 21;;5;EQ HOMES;Single;Rideau;Construct a 1 storey detached dwelling;1;287 061;1775;2000049;Construction; 2020-janv-06
692  ;PLEASANT PARK RD ;K1G1Y4;Ward 18;728;24 AND 25;CONTRACTOR UNKNOWN;Single;Old Ottawa;Interior alterations to a 1 storey detached dwelling (remove load bearing wall in the basement);0;3 000;10;2000050;Construction; 2020-janv-06
295  ;FIRST AVE ;K1S2G7;Ward 17;89469;79;CONTRACTOR UNKNOWN;Single;Old Ottawa;Interior alterations to a 3 storey detached dwelling (remove load-bearing wall renovate kitchen and bathrooms);0;20 000;590;2000053;Construction; 2020-janv-06
274  ;LONGWORTH AVE ;K1T0T8;Ward 20;4M-1624;94;URBANDALE CORPORATION;Single;Gloucester;Construct a 2 storey detached dwelling w/ attached garage (Model: S-44300-19 Hillsboro 19 Pacific);1;482 783;3486;2000054;Construction; 2020-janv-06
23  ;HORNER DR ;K2H5E6;Ward 7;412421;100;CONTRACTOR UNKNOWN;Single;Nepean;Remove and replace screen porch (rear yard);0;15 000;275;2000055;Construction; 2020-janv-06
1325  ;JOHNSTON RD ;K1V8Z1;Ward 10;4M-;3;CONTRACTOR UNKNOWN;Office;Old Ottawa;PLUMBING ONLY- Install a Backflow Prevention Device;0;10 000;0;2000056;Construction; 2020-janv-06
2496  ;BANK ST ;K1V8S2;Ward 10;;6;CONTRACTOR UNKNOWN;Retail;Old Ottawa;PLUMBING ONLY- Install a Premise Isolation Backflow Prevention Device;0;10 000;0;2000057;Construction; 2020-janv-06
30  ;MULVAGH AVE ;K2E6M6;Ward 9;455921;;CONTRACTOR UNKNOWN;Single;Nepean;Finish the basement in a 2 storey semi- detached dwelling;0;20 438;550;2000058;Construction; 2020-janv-06
107  ;YORK ST ;K1N5T4;Ward 12;42482;18,19;CONTRACTOR UNKNOWN;Rowhouse;Old Ottawa;Exterior/interior alterations to convert 2 (105 & 107) 3 storey rowhouse dwellings into 1 rowhouse dwelling;0;304 181;3190;2000059;Construction; 2020-janv-06
4463  ;BITTERSWEET PL ;K1V1R9;Ward 22;4M-;10;CONTRACTOR UNKNOWN;Single;Gloucester;Interior alterations to a 1 storey detached dwelling;0;8 000;800;2000060;Construction; 2020-janv-06
59  ;SPARKS ST ;K1A0R7;Ward 14;4M-;22-26;CONTRACTOR UNKNOWN;Office;Old Ottawa;Interior alterations to the 7th floor of a 9 storey office building (Post Office - Public Works);0;385 000;8525;2000061;Construction; 2020-janv-06
180  ;WELLINGTON ST ;;Ward 14;3922;11-13;CONTRACTOR UNKNOWN;Office;Old Ottawa;Tenant fit up on the 1st floor of a 6 storey office building ( Library of Parliament Immersive Experience);0;4 000 000;7083;2000062;Construction; 2020-janv-06
4  ;HIGWOOD DR ;K2E5K7;Ward 9;4M-;;CONTRACTOR UNKNOWN;Single;Nepean;Interior alterations to a 1 storey detached dwelling;0;300;29;2000063;Construction; 2020-janv-07
921  ;TAVISTOCK RD ;K2B5N7;Ward 7;4M-;20;DUNN, JEFF;Single;Old Ottawa;Interior alterations to a 2 storey detached dwelling (new bathroom and minor non-load bearing wall changes on main floor);0;2 000;26;2000064;Construction; 2020-janv-07
2  ;GARLAND ST ;K1Y2A4;Ward 15;97;13;CONTRACTOR UNKNOWN;Demolition;Old Ottawa;Demolish a 1 storey detached garage (rear yard);0;1 000;-241;2000065;Demolition; 2020-janv-07
2  ;GARLAND ST ;K1Y2A4;Ward 15;97;13;CONTRACTOR UNKNOWN;Single;Old Ottawa;Remove a 1 storey addition (rear yard) and interior alterations on all floors of a 2 storey detached dwelling;0;8 000;789;2000066;Construction; 2020-janv-07
160  ;ELGIN ST ;K2P2P7;Ward 14;2996,;50 to 57;PCL CONSTRUCTORS CANADA INC.;Office;Old Ottawa;Tenant fit up - removal of partition walls on the 23rd floor of a 27 storey office building in preparation of future fit-up (Place Bell Canada);0;140 000;7319;2000067;Construction; 2020-janv-07
160  ;ELGIN ST ;K2P2P7;Ward 14;2996;50;CONTRACTOR UNKNOWN;Office;Old Ottawa;Tenant fit up on the 23rd floor of a 27 storey office building;0;1 954 038;7319;2000068;Construction; 2020-janv-07
91  ;VALLEY STREAM DR ;K2H9G8;Ward 8;420;;CONTRACTOR UNKNOWN;Apartment;Nepean;Interior alterations on the 1st floor of an 8 storey apartment building;0;113 000;1464;2000069;Construction; 2020-janv-07
1509  ;BRIARFIELD CRES ;K4A1W6;Ward 1;50M-193;;VALAHOME IMPROVEMENTS;Rowhouse;Cumberland;Interior alterations to install ducting for range hood in a 2 storey rowhouse;0;1 500;86;2000070;Construction; 2020-janv-07
1  ;FRANK ST ;K2P0W8;Ward 14;M4;75;CONTRACTOR UNKNOWN;Single;Old Ottawa;Interior/exterior alterations to a 2 storey detached dwelling (demolish portions of 2nd floor walls and roof in order to construct additions on both sides of dwelling);0;67 901;1136;2000071;Construction; 2020-janv-07
208  ;BOLTON ST ;K1N5B3;Ward 12;4M-;;GRASSROOTS DESIGN & BUILD INC.;Rowhouse;Old Ottawa;Interior alterations to a 2 storey rowhouse (replace basement stairs, add main floor bathroom and renovate second floor bathroom);0;21 000;183;2000072;Construction; 2020-janv-07
405 A ;ELDORADO PRIV ;;Ward 4;4M-;;MINTO COMMUNITIES INC.;Stacked Rowhouse;Kanata;Constuct a 3 storey block of 12 stacked rowhouses;12;1 774 799;13646;2000073;Construction; 2020-janv-07
405 B ;ELDORADO PRIV ;;Ward 4;4M-;;MINTO COMMUNITIES INC.;Stacked Rowhouse;Kanata;Constuct a 3 storey block of 12 stacked rowhouses;12;1 774 799;13646;2000073;Construction; 2020-janv-07
405 C ;ELDORADO PRIV ;;Ward 4;4M-;;MINTO COMMUNITIES INC.;Stacked Rowhouse;Kanata;Constuct a 3 storey block of 12 stacked rowhouses;12;1 774 799;13646;2000073;Construction; 2020-janv-07
405 D ;ELDORADO PRIV ;;Ward 4;4M-;;MINTO COMMUNITIES INC.;Stacked Rowhouse;Kanata;Constuct a 3 storey block of 12 stacked rowhouses;12;1 774 799;13646;2000073;Construction; 2020-janv-07
415 A ;ELDORADO PRIV ;;Ward 4;4M-;;MINTO COMMUNITIES INC.;Stacked Rowhouse;Kanata;Constuct a 3 storey block of 12 stacked rowhouses;12;1 774 799;13646;2000073;Construction; 2020-janv-07
415 B ;ELDORADO PRIV ;;Ward 4;4M-;;MINTO COMMUNITIES INC.;Stacked Rowhouse;Kanata;Constuct a 3 storey block of 12 stacked rowhouses;12;1 774 799;13646;2000073;Construction; 2020-janv-07
425 A ;ELDORADO PRIV ;;Ward 4;4M-;;MINTO COMMUNITIES INC.;Stacked Rowhouse;Kanata;Constuct a 3 storey block of 12 stacked rowhouses;12;1 774 799;13646;2000073;Construction; 2020-janv-07
425 B ;ELDORADO PRIV ;;Ward 4;4M-;;MINTO COMMUNITIES INC.;Stacked Rowhouse;Kanata;Constuct a 3 storey block of 12 stacked rowhouses;12;1 774 799;13646;2000073;Construction; 2020-janv-07
435 A ;ELDORADO PRIV ;;Ward 4;4M-;;MINTO COMMUNITIES INC.;Stacked Rowhouse;Kanata;Constuct a 3 storey block of 12 stacked rowhouses;12;1 774 799;13646;2000073;Construction; 2020-janv-07
435 B ;ELDORADO PRIV ;;Ward 4;4M-;;MINTO COMMUNITIES INC.;Stacked Rowhouse;Kanata;Constuct a 3 storey block of 12 stacked rowhouses;12;1 774 799;13646;2000073;Construction; 2020-janv-07
435 C ;ELDORADO PRIV ;;Ward 4;4M-;;MINTO COMMUNITIES INC.;Stacked Rowhouse;Kanata;Constuct a 3 storey block of 12 stacked rowhouses;12;1 774 799;13646;2000073;Construction; 2020-janv-07
435 D ;ELDORADO PRIV ;;Ward 4;4M-;;MINTO COMMUNITIES INC.;Stacked Rowhouse;Kanata;Constuct a 3 storey block of 12 stacked rowhouses;12;1 774 799;13646;2000073;Construction; 2020-janv-07
426  ;SHOREWAY DR ;K4P0G3;Ward 20;;9;SUNDEV HOMES LTD;Single;Osgoode;Finishing the basement of a 1 storey detached dwelling;0;26 012;700;2000074;Construction; 2020-janv-07
385  ;SHOREWAY DR ;K4P0G2;Ward 20;"4M-1590
";8;CONTRACTOR UNKNOWN;Single;Osgoode;Construct a 1 storey detached dwelling;1;496 811;2971;2000075;Construction; 2020-janv-07
73  ;MOORE ST ;K0A2Z0;Ward 21;4M1183;2;CONTRACTOR UNKNOWN;Single;Goulbourn;Finish the basement in a 2 storey detached dwelling;0;24 526;660;2000076;Construction; 2020-janv-07
1104  ;TOMKINS FARM CRES ;K4P1M5;Ward 20;4M-;;CONTRACTOR UNKNOWN;Detached Garage/Shed;Osgoode;Construct an shed (rear yard);0;20 000;825;2000077;Construction; 2020-janv-07
6579  ;GREELY WEST DR ;K4P1E6;Ward 20;4M646;7;KUMAR CONSTRUCTION;Single;Osgoode;Construct a rear addition (deck with screen room);0;15 000;225;2000078;Construction; 2020-janv-07
1140  ;WELLINGTON ST W;K1Y4H4;Ward 15;14;;CONTRACTOR UNKNOWN;Apartment;Old Ottawa;Tenant fit up on the 1st floor of a 13 storey mixed use building (Resurrection Church Pastoral Office);0;40 000;1030;2000079;Construction; 2020-janv-07
106  ;SHERBROOKE AVE ;K1Y1R9;Ward 15;;19;CONTRACTOR UNKNOWN;Duplex;Old Ottawa;Convert a single-family home to a duplex. Construct a 2 storey addition and 2 storey deck to a 3 storey detached dwelling (rear yard).;1;373 723;2463;2000080;Construction; 2020-janv-07
1443  ;MANOTICK STATION RD ;K4P0E2;Ward 20;4M-1238;23;CONTRACTOR UNKNOWN;Single;Osgoode;Construct a 2 storey detached dwelling;1;836 936;5005;2000081;Construction; 2020-janv-07
99  ;BANK ST ;K1P6B9;Ward 14;4M-;;4TE INC;Office;Old Ottawa;Interior alterations to the 6th floor of a 16 storey office building (Room 0027 -Canadian Air Transport Security Authority);0;12 038;322;2000082;Construction; 2020-janv-07
483  ;COPE DR ;K2V0P1;Ward 6;4M-;29-30;CARDEL HOMES INC. OTTAWA DIVISION;Rowhouse;Goulbourn;Construct a block of 6,  2 storey rowhouses;6;1 540 505;13636;2000083;Construction; 2020-janv-07
485  ;COPE DR ;K2V0P1;Ward 6;4M-;29-30;CARDEL HOMES INC. OTTAWA DIVISION;Rowhouse;Goulbourn;Construct a block of 6,  2 storey rowhouses;6;1 540 505;13636;2000083;Construction; 2020-janv-07
487  ;COPE DR ;K2V0P1;Ward 6;4M-;29-30;CARDEL HOMES INC. OTTAWA DIVISION;Rowhouse;Goulbourn;Construct a block of 6,  2 storey rowhouses;6;1 540 505;13636;2000083;Construction; 2020-janv-07
489  ;COPE DR ;K2V0P1;Ward 6;4M-;29-30;CARDEL HOMES INC. OTTAWA DIVISION;Rowhouse;Goulbourn;Construct a block of 6,  2 storey rowhouses;6;1 540 505;13636;2000083;Construction; 2020-janv-07
491  ;COPE DR ;K2V0P1;Ward 6;4M-;29-30;CARDEL HOMES INC. OTTAWA DIVISION;Rowhouse;Goulbourn;Construct a block of 6,  2 storey rowhouses;6;1 540 505;13636;2000083;Construction; 2020-janv-07
493  ;COPE DR ;K2V0P1;Ward 6;4M-;29-30;CARDEL HOMES INC. OTTAWA DIVISION;Rowhouse;Goulbourn;Construct a block of 6,  2 storey rowhouses;6;1 540 505;13636;2000083;Construction; 2020-janv-07
756  ;KIRKHAM CRES ;K0A2Z0;Ward 21;4M-;;CARDEL HOMES INC. OTTAWA DIVISION;Single;Goulbourn;Construct a 2 storey detached dwelling (Lancaster A1);1;278 384;1678;2000084;Construction; 2020-janv-07
798  ;SMYTH RD ;K1G1P3;Ward 18;627;172;CONTRACTOR UNKNOWN;Single;Old Ottawa;Interior alterations to a 1 storey detached dwelling (remove load-bearing walls);0;525;10;2000085;Construction; 2020-janv-07
601  ;EDENWYLDE DR ;K2S2L1;Ward 21;4M-;25;CARDEL HOMES INC. OTTAWA DIVISION;Rowhouse;Goulbourn;Construct a 2 storey block of 4 rowhouse dwellings;4;980 615;8699;2000086;Construction; 2020-janv-07
603  ;EDENWYLDE DR ;K2S2L1;Ward 21;4M-;25;CARDEL HOMES INC. OTTAWA DIVISION;Rowhouse;Goulbourn;Construct a 2 storey block of 4 rowhouse dwellings;4;980 615;8699;2000086;Construction; 2020-janv-07
605  ;EDENWYLDE DR ;K2S2L1;Ward 21;4M-;25;CARDEL HOMES INC. OTTAWA DIVISION;Rowhouse;Goulbourn;Construct a 2 storey block of 4 rowhouse dwellings;4;980 615;8699;2000086;Construction; 2020-janv-07
607  ;EDENWYLDE DR ;K2S2L1;Ward 21;4M-;25;CARDEL HOMES INC. OTTAWA DIVISION;Rowhouse;Goulbourn;Construct a 2 storey block of 4 rowhouse dwellings;4;980 615;8699;2000086;Construction; 2020-janv-07
30  ;ARIDUS CRES ;K2S2L4;Ward 21;4M-;64;CARDEL HOMES INC. OTTAWA DIVISION;Single;Goulbourn;Construct a 2 storey detached dwelling;1;469 275;3378;2000087;Construction; 2020-janv-07
